Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Date,Pages,Issue,Volume,Library Catalog,Main Auditory Cue Control Dimensions,Auditory Cue Controls,Haptics General,Haptics Details,Application ,Interaction ,Evaluation Method
journalArticle,2024,"Sato, Yushi; Iwai, Daisuke; Sato, Kosuke",Sound Texture Feedback for a Projected Extended Hand Interface,IEEE Access,,2169-3536,10.1109/ACCESS.2024.3367601,https://ieeexplore.ieee.org/abstract/document/10440090,2024,27673-27682,,12,IEEE Xplore,Spectral; Amplitude; Distance,Timbre/Texture: Texture; Loudness: Sound Pressure Level; Distance: Distance,combined,"active touch, body representation (extended hand)",pure-research,touchscreen,"self-report description, subjective rating"
conferencePaper,2023,"Hirohashi, Miho; Haneda, Yoichi",Subjective Evaluation of a Focused Sound Source Reproducing at the positions of a Listener’s Moving Hand,2023 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),,,10.1109/APSIPAASC58517.2023.10317457,https://ieeexplore.ieee.org/abstract/document/10317457,2023-10,2395-2401,,,IEEE Xplore,Amplitude,Loudness: Volume,kinesthetic,body movement awareness,focused-sound,"listen,move-hand",subjective rating
conferencePaper,2024,"Ricci, Marina; Scarcelli, Alessandra; Losciale, Piera; Di Roma, Annalisa",Perception-Driven Design Approach: Towards Interaction Design for Simulating and Evoking Tactile Properties via Digital Interfaces,Human-Computer Interaction,978-3-031-60449-2,,10.1007/978-3-031-60449-2_7,,2024,89-101,,,Springer Link,All,On-Off: Auditory cues provided (vs. not provided),tactile,material,haptic-interface,unknown,self-report description
journalArticle,2018,"Melaisi, Mohammed; Rojas, David; Kapralos, Bill; Uribe-Quevedo, Alvaro; Collins, Karen",Multimodal Interaction of Contextual and Non-Contextual Sound and Haptics in Virtual Simulations,Informatics,,2227-9709,10.3390/informatics5040043,https://www.mdpi.com/2227-9709/5/4/43,2018-12,43,4,5,www.mdpi.com,All,Audio Content: Content Congruency; On-Off: Auditory cues provided (vs. not provided),kinesthetic,body movement awareness (drilling),pure-research,drilling,behaviour analysis
journalArticle,2023,"Ning, Guoxuan; Grant, Brianna; Kapralos, Bill; Quevedo, Alvaro; Collins, KC; Kanev, Kamen; Dubrowski, Adam","Understanding virtual drilling perception using sound, and kinesthetic cues obtained with a mouse and keyboard",Journal on Multimodal User Interfaces,,1783-8738,10.1007/s12193-023-00407-8,https://doi.org/10.1007/s12193-023-00407-8,2023-09-01,151-163,3,17,Springer Link,All,Audio Content: Different Audio Source; On-Off: Auditory cues provided (vs. not provided),kinesthetic,"body movement awareness (drilling), vibration",drilling,use-motor,behaviour analysis
journalArticle,2021,"Kang, Namkyoo; Sah, Young June; Lee, Sangwon",Effects of visual and auditory cues on haptic illusions for active and passive touches in mixed reality,International Journal of Human-Computer Studies,,1071-5819,10.1016/j.ijhcs.2021.102613,https://www.sciencedirect.com/science/article/pii/S1071581921000318,2021-06-01,102613,,150,ScienceDirect,Spectral,Pitch: Pitch,tactile,"roughness, stiffness",virtual-feedback,virtual-touch,subjective rating
conferencePaper,2024,"Lafuma, Louis; Bouyer, Guillaume; Didier, Jean-Yves; Goguel, Olivier",Brightness Is More Efficient Than Delay To Induce Weight Perception,,,,,,2024-06-24,,,,,Spectral; Temporal,Spectral Manipulation: Brightness/Spectral Centroid; Synchrony: Delay,kinesthetic,object weight,weight-research,grab-virtual-object,forced choice
conferencePaper,2016,"Fleureau, Julien; Lefevre, Yoan; Danieau, Fabien; Guillotel, Philippe; Costes, Antoine",Texture Rendering on a Tactile Surface Using Extended Elastic Images and Example-Based Audio Cues | SpringerLink,"Haptics: Perception, Devices, Control, and Applications",978-3-319-42321-0,,10.1007/978-3-319-42321-0_32,https://link.springer.com/chapter/10.1007/978-3-319-42321-0_32,2016,350-359,,,Springer Link,All,Special Effect or Synthesis Method: Example-based Audio Synthesis; Audio Content: Content Congruency; On-Off: Auditory cues provided (vs. not provided),tactile,friction,haptic-interface,unknown,self-report description
conferencePaper,2015,"Sikstrom, Erik; Gotzen, Amalia De; Serafin, Stefania",Avatar weight estimates based on footstep sounds in three presentation formats,,978-1-4799-1969-7,,10.1109/SIVE.2015.7361295,https://www.computer.org/csdl/proceedings-article/sive/2015/07361295/12OmNApLGtP,2015-03,1-6,,,info.computer.org,Spectral,Spectral Manipulation: Filter,kinesthetic,body weight,pure-research,listen,"self-report measurement, subjective rating, interview"
journalArticle,2017,"Park, Chan Hyun; Kim, Hyun Taek",Induced Pseudo-haptic Sensation using Multisensory Congruency in Virtual Reality,한국HCI학회 학술대회,,,,https://www.iomcworld.org/proceedings/induced-pseudohaptic-sensation-using-multisensory-congruency-in-virtual-reality-48958.html,2017-02,1055-1059,,,www.dbpia.co.kr,All,Audio Content: Content Congruency; On-Off: Auditory cues provided (vs. not provided),tactile,roughness,virtual-feedback,touch,subjective rating
conferencePaper,2023,"Lee, D. S.; Lee, K. C.; Kim, H. J.; Kim, S.",Pseudo-haptic Feedback Design for Virtual Activities in Human Computer Interface,"Virtual, Augmented and Mixed Reality",978-3-031-35634-6,,10.1007/978-3-031-35634-6_18,,2023,253-265,,,Springer Link,All,On-Off: Auditory cues provided (vs. not provided),combined,active touch,virtual-feedback,use-wrist-worn-display,"interview, subjective rating"
conferencePaper,2006,"Avanzini, Federico; Crosato, Paolo",Haptic-Auditory Rendering and Perception of Contact Stiffness,Haptic and Audio Interaction Design,978-3-540-37596-8,,10.1007/11821731_3,,2006,24-35,,,Springer Link,Spectral,Spectral Manipulation: Brightness/Spectral Centroid,tactile,stiffness,pure-research,finger-tapping,self-report measurement
conferencePaper,2018,"Ustek, Dilan; Chow, Kevin; Zhang, Haihua; MacLean, Karon",A Multimodal Illusion of Force Improves Control Perception in Above-Surface Gesture: Elastic Zed-Zoom,"Haptics: Science, Technology, and Applications",978-3-319-93445-7,,10.1007/978-3-319-93445-7_26,https://link.springer.com/chapter/10.1007/978-3-319-93445-7_26,2018,295-308,,,link.springer.com,"Spectral, Amplitude, All",Pitch: Frequency; Loudness: Volume; Audio Content: Different Audio Source,kinesthetic,elasticity,virtual-feedback,move-finger,"self-report description, subjective rating"
conferencePaper,2019,"Tajadura-Jiménez, Ana; Newbold, Joseph; Zhang, Linge; Rick, Patricia; Bianchi-Berthouze, Nadia",As Light as You Aspire to Be: Changing Body Perception with Sound to Support Physical Activity,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,978-1-4503-5970-2,,10.1145/3290605.3300888,https://dl.acm.org/doi/10.1145/3290605.3300888,2019-05-02,1–14,,,ACM Digital Library,Spectral,Spectral Manipulation: Equalization,kinesthetic,"body weight, body movement awareness",weight-research,walk,"behaviour analysis, subjecive rating"
conferencePaper,2015,"Tajadura-Jiménez, Ana; Basia, Maria; Deroy, Ophelia; Fairhurst, Merle; Marquardt, Nicolai; Bianchi-Berthouze, Nadia","As Light as your Footsteps: Altering Walking Sounds to Change Perceived Body Weight, Emotional State and Gait",Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,978-1-4503-3145-6,,10.1145/2702123.2702374,https://dl.acm.org/doi/10.1145/2702123.2702374,2015-04-18,2943–2952,,,ACM Digital Library,Spectral,Spectral Manipulation: Equalization,kinesthetic,body weight,weight-research,walk,"behaviour analysis, subjecive rating"
journalArticle,2022,"Katircilar, Didem; Yildirim, Funda",Harmonicity of Sound Alters Roughness Perception,,,,10.31234/osf.io/qb523,https://research.utwente.nl/en/publications/harmonicity-of-sound-alters-roughness-perception,2022-01-10,,,,research.utwente.nl,Spectral,Harmony: Consonance vs Dissonant,tactile,roughness,roughness-research,touch,subjective rating
journalArticle,2024,"Montano-Murillo, Roberto; Pittera, Dario; Frier, William; Georgiou, Orestis; Obrist, Marianna; Cornelio, Patricia","It Sounds Cool: Exploring Sonification of Mid-Air Haptic Textures Exploration on Texture Judgments, Body Perception, and Motor Behaviour",IEEE Transactions on Haptics,,2329-4051,10.1109/TOH.2023.3320492,https://ieeexplore.ieee.org/abstract/document/10285051,2024-04,237-248,2,17,IEEE Xplore,All,On-Off: Auditory cues provided (vs. not provided),tactile,"roughness, stiffness, wetness, stickiness",pure-research,move-hand,"pilot, behaviour analysis, subjective rating, self-report description, interview"
conferencePaper,2024,"Xue, Jing; Montano Murillo, Roberto; Dawes, Christopher; Frier, William; Cornelio, Patricia; Obrist, Marianna",FabSound: Audio-Tactile and Affective Fabric Experiences Through Mid-air Haptics,Proceedings of the CHI Conference on Human Factors in Computing Systems,9798400703300,,10.1145/3613904.3642533,https://dl.acm.org/doi/10.1145/3613904.3642533,2024-05-11,1–17,,,ACM Digital Library,Spectral; Amplitude,Pitch: Pitch; Loudness: Volume,tactile,roughness,roughness-research,touch,subjective rating
journalArticle,2014,"Tonetto, Leandro Miletto; Klanovicz, Cristiano Porto; Spence, Charles",Modifying Action Sounds Influences People's Emotional Responses and Bodily Sensations,i-Perception,,2041-6695,10.1068/i0653,https://doi.org/10.1068/i0653,2014-05-01,153-163,3,5,SAGE Journals,All,Audio Content: Different Audio Source,kinesthetic,body movement flexibility,pure-research,walk,subjetcive rating
journalArticle,1998,"Jousmäki, V.; Hari, R.",Parchment-skin illusion: sound-biased touch,Current Biology,,0960-9822,10.1016/S0960-9822(98)70120-4,https://www.cell.com/current-biology/abstract/S0960-9822(98)70120-4,1998-03-12,R190-R191,6,8,www.cell.com,Spectral; Amplitude,Spectral Manipulation: Equalization; Loudness: Intensity,tactile,"roughness, wetness (skin texture)",pure-research,rub-hands,"self-report description, subjective rating"
journalArticle,2002,"Guest, Steve; Catmur, Caroline; Lloyd, Donna; Spence, Charles",Audiotactile interactions in roughness perception,Experimental Brain Research,,0014-4819,10.1007/s00221-002-1164-z,,2002-09,161-171,2,146,PubMed,Spectral,Spectral Manipulation: Equalization,tactile,"roughness, wetness (skin texture)",roughness-research,rub-hands,"subjective rating, paired comparison"
journalArticle,2008,"Suzuki, Yuika; Gyoba, Jiro; Sakamoto, Shuichi",Selective effects of auditory stimuli on tactile roughness perception,Brain Research,,0006-8993,10.1016/j.brainres.2008.06.104,https://www.sciencedirect.com/science/article/pii/S0006899308015588,2008-11-25,87-94,,1242,ScienceDirect,Amplitude; All,Loudness: Intensity; Audio Content: Different Audio Source,combined,"roughness, object shape (length)",roughness-research,move-finger,self-report measurement
journalArticle,2005,"Fernström, Mikael; Brazil, F.; Bannon, Liam",HCI Design and Interactive Sonification for Fingers and Ears,"Multimedia, IEEE",,,10.1109/MMUL.2005.27,,2005-05-01,36-44,,12,ResearchGate,All,Audio Content: Different Audio Source; On-Off: Auditory cues provided (vs. not provided),combined,object shape (control panel layout detection),pure-research,click-button,"subjective rating, interview"
conferencePaper,2021,"Chan, Sonny; Tymms, Chase; Colonnese, Nicholas",Hasti: Haptic and Audio Synthesis for Texture Interactions,2021 IEEE World Haptics Conference (WHC),,,10.1109/WHC49131.2021.9517177,https://ieeexplore.ieee.org/abstract/document/9517177,2021-07,733-738,,,IEEE Xplore,All,Special Effect or Synthesis Method: Modal Synthesis,tactile,roughness,roughness-research,touch,cross-modal matching
journalArticle,2008,"Praamsma, Monate; Carnahan, Heather; Backstein, David; Veillette, Christian J.H.; Gonzalez, David; Dubrowski, Adam","Drilling sounds are used by surgeons and intermediate residents, but not novice orthopedic trainees, to guide drilling motions",Canadian Journal of Surgery,,0008-428X,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2592586/,2008-12,442-446,6,51,PubMed Central,Spectral; All,Pitch: Pitch; On-Off: Masking,kinesthetic,body movement awareness (drilling),drilling,drilling,behaviour analysis
journalArticle,2021,"De, Villiers Bosman Isak; De, Beer Koos; Bothma, Theo J. D.",Creating pseudo-tactile feedback in virtual reality using shared crossmodal properties of audio and tactile feedback,South African Computer Journal,,,10.18489/sacj.v33i1.883,https://journals.co.za/doi/abs/10.18489/sacj.v33i1.883,2021-07,1-21,1,33,journals.co.za (Atypon),Spectral; Amplitude; Spatail,Pitch: Pitch; Timbre/Texture: Timbre; Loudness: Intensity; Location: Location/Position,tactile,texture,pure-research,unknown,"subjective rating, interview"
journalArticle,2020,"Malpica, S.; Serrano, A.; Allue, M.; Bedia, M. G.; Masia, B.",Crossmodal perception in virtual reality,Multimedia Tools and Applications,,1573-7721,10.1007/s11042-019-7331-z,https://doi.org/10.1007/s11042-019-7331-z,2020-02-01,3311-3331,5,79,Springer Link,All,On-Off: Auditory cues provided (vs. not provided),tactile,"roughness, stiffness, material",pure-research,take-test,subjective rating
journalArticle,2011,"Effenberg, Alfred; Fehse, Ursula; Weber, Andreas",Movement Sonification: Audiovisual benefits on motor learning,BIO Web of Conferences,,2117-4458,10.1051/bioconf/20110100022,https://www.bio-conferences.org/articles/bioconf/abs/2011/01/bioconf_skills_00022/bioconf_skills_00022.html,2011,22,,1,www.bio-conferences.org,Spectral; Amplitude; All,Pitch: Pitch; Loudness: Amplitude; Audio Content: Different Musical Instruments,kinesthetic,body movement awareness (motor control),motor-learning,use-motor,behaviour analysis
journalArticle,2016,"Effenberg, Alfred O.; Fehse, Ursula; Schmitz, Gerd; Krueger, Bjoern; Mechling, Heinz",Movement Sonification: Effects on Motor Learning beyond Rhythmic Adjustments,Frontiers in Neuroscience,,1662-453X,10.3389/fnins.2016.00219,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2016.00219/full,2016-05-27,,,10,Frontiers,Spectral; Amplitude; All,Pitch: Pitch; Loudness: Amplitude; Audio Content: Different Musical Instruments,kinesthetic,body movement awareness (motor control),motor-learning,use-motor,behaviour analysis
journalArticle,2024,"Li, Jingya",Beyond Sight: Enhancing Augmented Reality Interactivity with Audio-Based and Non-Visual Interfaces,Applied Sciences,,2076-3417,10.3390/app14114881,https://www.mdpi.com/2076-3417/14/11/4881,2024-01,4881,11,14,www.mdpi.com,Amplitude; All,Loudness: Loudness; Audio Content: Content Congruency; On-Off: Auditory cues provided (vs. not provided),combined,active touch,enhance-presence,touchscreen,subjective rating (standard questionnaire)
conferencePaper,2015,"Sikstrom, Erik; Gotzen, Amalia de; Serafin, Stefania",Self-characterstics and sound in immersive virtual reality — Estimating avatar weight from footstep sounds,,978-1-4799-1727-3,,10.1109/VR.2015.7223406,https://www.computer.org/csdl/proceedings-article/vr/2015/07223406/12OmNAlvHUH,2015-03-01,283-284,,,info.computer.org,Spectral,Spectral Manipulation: Filter,kinesthetic,body weight,weight-research,walk,self-report measurement
conferencePaper,2005,"Herbst, I.; Stark, J.","Comparing force magnitudes by means of vibro-tactile, auditory, and visual feedback",IEEE International Workshop on Haptic Audio Visual Environments and their Applications,,,10.1109/HAVE.2005.1545654,https://ieeexplore.ieee.org/document/1545654,2005-10,5 pp.-,,,IEEE Xplore,Spectral; All,Pitch: Pitch; Loudness: Amplitude; Audio Content: Different Audio Source; On-Off: Masking,kinesthetic,"body weight, friction",virtual-feedback,feel,"self-report measurement, subjective rating"
journalArticle,2018,"Radziun, Dominika; Ehrsson, H. Henrik",Auditory cues influence the rubber-hand illusion,Journal of Experimental Psychology: Human Perception and Performance,,1939-1277,10.1037/xhp0000508,,2018,1012-1021,7,44,APA PsycNet,Temporal,Synchrony: Synchrony,tactile,"body representation (hand location, body ownership)",pure-research,touch,"subjective rating, interview"
journalArticle,2014,"Senna, Irene; Maravita, Angelo; Bolognini, Nadia; Parise, Cesare V.",The Marble-Hand Illusion,PLOS ONE,,1932-6203,10.1371/journal.pone.0091688,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091688,2014-03-12,e91688,3,9,PLoS Journals,All; Temporal,Audio Content: Different Audio Source; Synchrony: Synchrony,tactile,"body weight (hand weight), body stiffness",pure-research,hit-hand,"behaviour analysis, subjective rating"
journalArticle,2016,"Singh, Aneesha; Piana, Stefano; Pollarolo, Davide; Volpe, Gualtiero; Varni, Giovanna; Tajadura-Jiménez, Ana; Williams, Amanda CdeC; Camurri, Antonio; Bianchi-Berthouze, Nadia","Go-with-the-Flow: Tracking, Analysis and Sonification of Movement and Breathing to Build Confidence in Activity Despite Chronic Pain",Hum.-Comput. Interact.,,0737-0024,10.1080/07370024.2015.1085310,https://doi.org/10.1080/07370024.2015.1085310,2016-07-01,335–383,3-4,31,ACM Digital Library,Spectral; Loudness,Pitch: Pitch; Loudness: Loudness,kinesthetic,body movement awareness,medical,body-movement,behaviour analysis
journalArticle,2015,"Tajadura-Jimenez, Ana; Bianchi-Berthouze, Nadia; Furfaro, Enrico; Bevilacqua, Frederic","Sonification of Surface Tapping Changes Behavior, Surface Perception, and Emotion",IEEE MultiMedia,,1070-986X,10.1109/MMUL.2015.14,https://doi.org/10.1109/MMUL.2015.14,2015-01-01,48–57,1,22,ACM Digital Library,Spectral,Spectral Manipulation: Equalization,combined,"stiffness, body movement (tapping strenghth)",pure-research,finger-tapping,"behaviour analysis, subjective rating"
journalArticle,2016,"Tajadura-Jiménez, Ana; Marquardt, Torsten; Swapp, David; Kitagawa, Norimichi; Bianchi-Berthouze, Nadia",Action Sounds Modulate Arm Reaching Movements,Frontiers in Psychology,,1664-1078,10.3389/fpsyg.2016.01391,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01391/full,2016-09-16,,,7,Frontiers,Temporal; Spatial,Synchrony: Synchrony; Distance: Distance,kinesthetic,body representation (arm length),pure-research,"arm-reaching, finger-tapping","self-report measurement, subjective rating"
journalArticle,2012,"Tajadura-Jiménez, Ana; Väljamäe, Aleksander; Toshima, Iwaki; Kimura, Toshitaka; Tsakiris, Manos; Kitagawa, Norimichi",Action sounds recalibrate perceived tactile distance,Current Biology,,0960-9822,10.1016/j.cub.2012.04.028,https://www.cell.com/current-biology/abstract/S0960-9822(12)00448-4,2012-07-10,R516-R517,13,22,www.cell.com,Temporal; Spatial,Synchrony: Synchrony; Distance: Distance,kinesthetic,body representation (arm length),pure-research,arm-reaching,forced choice
journalArticle,2018,"Tajadura-Jiménez, Ana; Deroy, Ophelia; Marquardt, Torsten; Bianchi-Berthouze, Nadia; Asai, Tomohisa; Kimura, Toshitaka; Kitagawa, Norimichi",Audio-tactile cues from an object’s fall change estimates of one’s body height,PLOS ONE,,1932-6203,10.1371/journal.pone.0199354,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199354,2018-06-27,e0199354,6,13,PLoS Journals,Spatial,Reverberation: Reverberation,kinesthetic,"body representation (leg length, body height)",pure-research,drop-object,"behaviour analysis, self-report description"
journalArticle,2017,"Tajadura-Jiménez, Ana; Vakali, Maria; Fairhurst, Merle T.; Mandrigin, Alisa; Bianchi-Berthouze, Nadia; Deroy, Ophelia",Contingent sounds change the mental representation of one’s finger length,Scientific Reports,,2045-2322,10.1038/s41598-017-05870-4,https://www.nature.com/articles/s41598-017-05870-4,2017-07-18,5748,1,7,www.nature.com,Spectral,Pitch: Pitch,combined,body representation (finger length),pure-research,pull-finger,"self-report measturement, self-report description"
journalArticle,2015,"Tajadura-Jiménez, Ana; Tsakiris, Manos; Marquardt, Torsten; Bianchi-Berthouze, Nadia",Action sounds update the mental representation of arm dimension: contributions of kinaesthesia and agency,Frontiers in Psychology,,1664-1078,10.3389/fpsyg.2015.00689,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2015.00689/full,2015-05-29,,,6,Frontiers,Temporal,Synchrony: Synchrony,kinesthetic,body representation (arm and finger length),pure-research,"arm-reaching, finger-tapping","self-report measurement, subjective rating"
conferencePaper,2022,"DiFranco, David E.; Beauregard, G. Lee; Srinivasan, Mandayam A.",The Effect of Auditory Cues on the Haptic Perception of Stiffness in Virtual Environments,,,,10.1115/IMECE1997-0372,https://dx.doi.org/10.1115/IMECE1997-0372,,,,,asmedigitalcollection.asme.org,unknown,unknown,tactile,stiffness,virtual-feedback,finger-tapping,self-report measurement
conferencePaper,2002,"Lederman, S.J.; Klatzky, R.L.; Morgan, T.; Hamilton, C.",Integrating multimodal information about surface texture via a probe: relative contributions of haptic and touch-produced sound sources,Proceedings 10th Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems. HAPTICS 2002,,,10.1109/HAPTIC.2002.998946,https://ieeexplore.ieee.org/abstract/document/998946,2002-03,97-104,,,IEEE Xplore,All,On-Off: Auditory cues provided (vs. not provided),tactile,roughness,texture-design,hold-probe,self-report measurement
journalArticle,2000,"Klatzky, Roberta L.; Pai, Dinesh K.; Krotkov, Eric P.",Perception of Material from Contact Sounds,Presence,,1054-7460,10.1162/105474600566907,https://ieeexplore.ieee.org/abstract/document/6788060,2000-08,399-410,4,9,IEEE Xplore,Spectral; Temporal,Pitch: Frequency; Envelop: Decay,tactile,"material, damping",pure-research,listen,"identification task, paired comparision (silimarlity)"
journalArticle,2004,"Hötting, Kirsten; Röder, Brigitte","Hearing Cheats Touch, but Less in Congenitally Blind Than in Sighted Individuals",Psychological Science,,0956-7976,10.1111/j.0963-7214.2004.01501010.x,https://doi.org/10.1111/j.0963-7214.2004.01501010.x,2004-01-01,60-64,1,15,SAGE Journals,All,On-Off: Auditory cues provided (vs. not provided),tactile,passive touch,accessibility-research,listen,self-report measurement
journalArticle,2010,"Castiello, Umberto; Giordano, Bruno L.; Begliomini, Chiara; Ansuini, Caterina; Grassi, Massimo",When Ears Drive Hands: The Influence of Contact Sound on Reaching to Grasp,PLOS ONE,,1932-6203,10.1371/journal.pone.0012240,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012240,2010-08-17,e12240,8,5,PLOS ONE,All,Audio Content: Content Congruency,kinesthetic,body movement awareness,pure-research,"arm-reaching, grab-object",behaviour analysis
journalArticle,1979,"Lederman, Susan J",Auditory Texture Perception,Perception,,0301-0066,10.1068/p080093,https://doi.org/10.1068/p080093,1979-02-01,93-103,1,8,SAGE Journals,All,Audio Content: Interaction with real-world objects,tactile,roughness,pure-research,touch,self-report measurement
conferencePaper,2008,"Altinsoy, M. Ercan",The Effect of Auditory Cues on the Audiotactile Roughness Perception: Modulation Frequency and Sound Pressure Level,Haptic and Audio Interaction Design,978-3-540-87883-4,,10.1007/978-3-540-87883-4_13,,2008,120-129,,,Springer Link,Spectral; Amplitude; All,Pitch: Pitch; Loudness: Sound Pressure Level; Audio Content: Interaction with real-world objects,tactile,roughness,roughness-research,touch,self-report measurement
